RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31
394404,10,"Boston, MA",msa,MA,20.0,10.0,9.0,7.0,8.0,8.0,12.0,13.0,12.0,15.0,25.0,33.0,25.0,15.0,9.0,8.0,9.0,11.0,14.0,15.0,12.0,17.0,23.0,35.0,22.0,9.0,7.0,10.0,8.0,7.0,8.0,7.0,8.0,8.0,9.0,14.0,9.0,7.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,11.0,7.0,7.0,6.0,6.0,7.0,11.0,10.0,11.0,9.0,11.0,13.0,21.0,14.0,9.0,7.0
394976,11,"Phoenix, AZ",msa,AZ,35.0,26.0,26.0,24.0,25.0,27.0,25.0,26.0,24.0,26.0,37.0,38.0,38.0,28.0,29.0,25.0,26.0,24.0,24.0,20.0,19.0,20.0,23.0,29.0,22.0,17.0,12.0,17.0,21.0,18.0,12.0,9.0,10.0,11.0,13.0,17.0,10.0,7.0,6.0,7.0,6.0,7.0,10.0,9.0,11.0,12.0,13.0,15.0,10.0,8.0,7.0,7.0,9.0,14.0,21.0,29.0,35.0,40.0,44.0,55.0,59.0,38.0,35.0
395057,12,"San Francisco, CA",msa,CA,13.0,12.0,13.0,12.0,12.0,13.0,14.0,15.0,15.0,18.0,24.0,31.0,19.0,15.0,14.0,14.0,14.0,15.0,17.0,16.0,15.0,18.0,22.0,33.0,14.0,13.0,12.0,14.0,14.0,13.0,12.0,12.0,12.0,13.0,13.0,15.0,11.0,9.0,9.0,9.0,9.0,10.0,11.0,12.0,12.0,13.0,13.0,15.0,9.0,9.0,9.0,10.0,12.0,14.0,18.0,22.0,19.0,21.0,26.0,40.0,32.0,14.0,13.0
395025,13,"Riverside, CA",msa,CA,31.0,19.0,21.0,17.0,18.0,20.0,25.0,26.0,32.0,32.0,35.0,44.0,48.0,31.0,29.0,24.0,25.0,23.0,24.0,26.0,25.0,27.0,29.0,36.0,34.0,21.0,16.0,20.0,19.0,15.0,11.0,9.0,9.0,9.0,10.0,11.0,10.0,8.0,8.0,8.0,8.0,9.0,10.0,11.0,11.0,12.0,12.0,13.0,10.0,9.0,9.0,9.0,11.0,13.0,19.0,26.0,27.0,29.0,34.0,42.0,49.0,27.0,21.0
394532,14,"Detroit, MI",msa,MI,39.0,16.0,10.0,7.0,7.0,9.0,11.0,15.0,18.0,22.0,27.0,39.0,41.0,28.0,14.0,10.0,10.0,15.0,16.0,19.0,24.0,28.0,30.0,41.0,50.0,23.0,12.0,28.0,11.0,9.0,9.0,8.0,10.0,9.0,11.0,14.0,22.0,6.0,4.0,5.0,5.0,5.0,7.0,8.0,9.0,10.0,10.0,13.0,9.0,6.0,5.0,5.0,5.0,7.0,10.0,12.0,15.0,16.0,19.0,26.0,27.0,15.0,9.0
395078,15,"Seattle, WA",msa,WA,9.0,8.0,7.0,7.0,7.0,8.0,10.0,14.0,17.0,22.0,31.0,38.0,21.0,11.0,7.0,7.0,7.0,10.0,11.0,13.0,11.0,15.0,17.0,19.0,7.0,6.0,5.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,7.0,,,,,,41.0,37.0,9.0,6.0
394865,16,"Minneapolis, MN",msa,MN,41.0,20.0,17.0,17.0,17.0,19.0,22.0,24.0,27.0,30.0,37.0,47.0,52.0,22.0,20.0,17.0,17.0,19.0,23.0,24.0,26.0,32.0,33.0,44.0,41.0,20.0,15.0,18.0,18.0,17.0,18.0,16.0,17.0,17.0,21.0,24.0,21.0,12.0,9.0,9.0,8.0,10.0,13.0,14.0,17.0,18.0,19.0,24.0,15.0,9.0,7.0,7.0,8.0,12.0,16.0,19.0,22.0,23.0,30.0,42.0,46.0,19.0,13.0
395056,17,"San Diego, CA",msa,CA,20.0,14.0,14.0,13.0,15.0,19.0,34.0,22.0,29.0,32.0,35.0,44.0,42.0,27.0,24.0,20.0,18.0,22.0,23.0,24.0,26.0,25.0,25.0,32.0,18.0,13.0,10.0,27.0,15.0,12.0,9.0,8.0,8.0,8.0,9.0,9.0,8.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,9.0,9.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,11.0,16.0,21.0,21.0,20.0,23.0,31.0,32.0,12.0,9.0
395148,18,"Tampa, FL",msa,FL,29.0,22.0,21.0,18.0,19.0,18.0,18.0,21.0,24.0,20.0,24.0,33.0,41.0,27.0,25.0,24.0,23.0,20.0,20.0,22.0,23.0,33.0,26.0,30.0,27.0,19.0,14.0,19.0,18.0,15.0,10.0,8.0,8.0,8.0,9.0,10.0,9.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,5.0,5.0,5.0,5.0,5.0,7.0,11.0,14.0,17.0,20.0,21.0,31.0,32.0,21.0,19.0
394530,19,"Denver, CO",msa,CO,7.0,6.0,6.0,5.0,6.0,7.0,10.0,13.0,14.0,18.0,23.0,28.0,16.0,9.0,7.0,6.0,8.0,10.0,15.0,16.0,16.0,19.0,23.0,27.0,15.0,6.0,5.0,10.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,6.0,11.0,,,,,36.0,28.0,9.0,7.0
394358,20,"Baltimore, MD",msa,MD,59.0,42.0,27.0,23.0,30.0,25.0,26.0,29.0,28.0,34.0,39.0,50.0,52.0,29.0,17.0,16.0,18.0,24.0,27.0,30.0,29.0,30.0,33.0,42.0,49.0,20.0,11.0,17.0,14.0,13.0,11.0,8.0,20.0,8.0,9.0,11.0,7.0,6.0,5.0,5.0,5.0,6.0,7.0,7.0,9.0,9.0,9.0,10.0,7.0,5.0,5.0,5.0,5.0,6.0,8.0,10.0,10.0,11.0,14.0,20.0,15.0,8.0,6.0
395121,21,"St. Louis, MO",msa,MO,47.0,25.0,20.0,17.0,18.0,18.0,21.0,24.0,29.0,27.0,34.0,45.0,50.0,20.0,12.0,9.0,10.0,11.0,14.0,16.0,15.0,17.0,25.0,33.0,33.0,14.0,7.0,10.0,8.0,7.0,7.0,6.0,6.0,7.0,8.0,11.0,11.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,10.0,16.0,10.0,6.0,5.0
394943,22,"Orlando, FL",msa,FL,31.0,19.0,16.0,15.0,14.0,15.0,17.0,16.0,23.0,23.0,31.0,33.0,31.0,22.0,21.0,17.0,16.0,17.0,21.0,20.0,26.0,35.0,24.0,29.0,26.0,17.0,12.0,16.0,17.0,16.0,12.0,11.0,12.0,11.0,12.0,15.0,14.0,9.0,6.0,6.0,5.0,6.0,6.0,7.0,8.0,7.0,7.0,8.0,6.0,5.0,5.0,6.0,6.0,7.0,11.0,14.0,16.0,21.0,24.0,31.0,35.0,20.0,14.0
394458,23,"Charlotte, NC",msa,NC,19.0,11.0,10.0,9.0,9.0,11.0,13.0,16.0,18.0,19.0,21.0,29.0,25.0,15.0,11.0,11.0,11.0,12.0,14.0,15.0,15.0,17.0,20.0,25.0,21.0,11.0,7.0,13.0,12.0,8.0,7.0,6.0,6.0,6.0,6.0,7.0,9.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,7.0,5.0,4.0,4.0,4.0,4.0,5.0,8.0,11.0,13.0,16.0,20.0,27.0,25.0,19.0,10.0
395055,24,"San Antonio, TX",msa,TX,55.0,38.0,32.0,27.0,31.0,31.0,32.0,34.0,38.0,44.0,45.0,41.0,52.0,42.0,33.0,31.0,32.0,33.0,35.0,38.0,43.0,45.0,46.0,55.0,60.0,41.0,32.0,32.0,31.0,30.0,26.0,25.0,26.0,25.0,26.0,27.0,21.0,8.0,5.0,5.0,5.0,6.0,6.0,7.0,8.0,8.0,8.0,9.0,8.0,6.0,6.0,6.0,6.0,7.0,10.0,15.0,19.0,22.0,27.0,38.0,44.0,28.0,23.0
394998,25,"Portland, OR",msa,OR,24.0,11.0,8.0,7.0,8.0,11.0,15.0,19.0,24.0,30.0,37.0,42.0,37.0,18.0,11.0,9.0,10.0,12.0,15.0,19.0,20.0,26.0,26.0,35.0,25.0,8.0,5.0,9.0,9.0,7.0,6.0,6.0,7.0,6.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,8.0,7.0,7.0,5.0,5.0,5.0,5.0,6.0,7.0,12.0,18.0,18.0,19.0,26.0,39.0,35.0,12.0,8.0
395045,26,"Sacramento, CA",msa,CA,17.0,11.0,11.0,9.0,10.0,12.0,15.0,17.0,21.0,24.0,27.0,34.0,35.0,14.0,12.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,22.0,26.0,13.0,9.0,7.0,10.0,11.0,10.0,8.0,7.0,7.0,7.0,8.0,8.0,7.0,6.0,6.0,6.0,6.0,7.0,8.0,8.0,9.0,9.0,10.0,9.0,7.0,7.0,7.0,7.0,8.0,11.0,17.0,22.0,24.0,26.0,29.0,34.0,36.0,16.0,11.0
394982,27,"Pittsburgh, PA",msa,PA,80.0,63.0,30.0,20.0,27.0,19.0,21.0,28.0,29.0,35.0,40.0,51.0,58.0,40.0,23.0,18.0,15.0,23.0,18.0,21.0,20.0,26.0,31.0,41.0,46.0,21.0,13.0,33.0,10.0,8.0,8.0,8.0,11.0,11.0,14.0,20.0,17.0,7.0,5.0,5.0,5.0,6.0,7.0,8.0,10.0,11.0,11.0,18.0,13.0,7.0,6.0,5.0,6.0,7.0,9.0,10.0,12.0,12.0,18.0,27.0,28.0,11.0,7.0
394466,28,"Cincinnati, OH",msa,OH,37.0,16.0,10.0,9.0,8.0,9.0,11.0,13.0,15.0,20.0,24.0,32.0,33.0,19.0,9.0,9.0,8.0,8.0,10.0,10.0,12.0,15.0,17.0,21.0,17.0,10.0,5.0,6.0,5.0,4.0,4.0,4.0,5.0,4.0,6.0,8.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,6.0,7.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,6.0,6.0,11.0,12.0,9.0,5.0,4.0
394355,29,"Austin, TX",msa,TX,32.0,13.0,12.0,10.0,11.0,15.0,19.0,24.0,31.0,33.0,33.0,41.0,35.0,15.0,10.0,10.0,12.0,14.0,15.0,20.0,23.0,18.0,24.0,28.0,18.0,9.0,6.0,11.0,10.0,9.0,8.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,10.0,9.0,11.0,13.0,14.0,17.0,19.0,18.0,22.0,19.0,10.0,9.0,11.0,12.0,16.0,26.0,36.0,43.0,47.0,53.0,68.0,70.0,60.0,37.0
394775,30,"Las Vegas, NV",msa,NV,41.0,26.0,21.0,30.0,11.0,10.0,11.0,19.0,19.0,22.0,31.0,34.0,40.0,27.0,28.0,27.0,25.0,28.0,32.0,32.0,34.0,33.0,37.0,44.0,41.0,23.0,12.0,20.0,23.0,24.0,20.0,14.0,16.0,18.0,20.0,21.0,30.0,8.0,6.0,6.0,6.0,7.0,7.0,8.0,9.0,9.0,10.0,10.0,7.0,6.0,6.0,7.0,7.0,10.0,16.0,26.0,33.0,39.0,43.0,58.0,59.0,43.0,28.0
394735,31,"Kansas City, MO",msa,MO,35.0,21.0,15.0,15.0,15.0,17.0,20.0,21.0,30.0,18.0,22.0,30.0,28.0,17.0,8.0,6.0,8.0,8.0,11.0,13.0,14.0,14.0,21.0,29.0,25.0,10.0,6.0,8.0,5.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,6.0,8.0,12.0,14.0,11.0,5.0,4.0
394492,32,"Columbus, OH",msa,OH,23.0,7.0,6.0,5.0,5.0,6.0,7.0,9.0,12.0,13.0,17.0,25.0,23.0,9.0,6.0,5.0,5.0,5.0,7.0,9.0,10.0,12.0,15.0,20.0,16.0,6.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,6.0,6.0,,14.0,8.0,5.0,4.0
394705,34,"Indianapolis, IN",msa,IN,40.0,25.0,14.0,14.0,7.0,7.0,10.0,13.0,15.0,18.0,23.0,33.0,35.0,23.0,9.0,7.0,7.0,8.0,10.0,12.0,12.0,15.0,20.0,26.0,28.0,11.0,5.0,9.0,6.0,5.0,5.0,4.0,5.0,5.0,6.0,8.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,8.0,9.0,10.0,15.0,21.0,,10.0,5.0
394475,35,"Cleveland, OH",msa,OH,65.0,51.0,36.0,32.0,31.0,33.0,38.0,38.0,46.0,45.0,47.0,58.0,59.0,46.0,34.0,33.0,30.0,32.0,34.0,36.0,40.0,42.0,45.0,51.0,49.0,35.0,20.0,25.0,19.0,14.0,16.0,14.0,18.0,14.0,17.0,28.0,28.0,7.0,4.0,4.0,4.0,5.0,6.0,7.0,7.0,7.0,9.0,11.0,8.0,6.0,5.0,5.0,5.0,5.0,6.0,8.0,10.0,10.0,14.0,20.0,17.0,9.0,6.0
395059,36,"San Jose, CA",msa,CA,11.0,10.0,11.0,9.0,10.0,12.0,16.0,17.0,17.0,23.0,26.0,39.0,22.0,15.0,15.0,15.0,15.0,20.0,27.0,22.0,27.0,22.0,26.0,39.0,16.0,11.0,10.0,16.0,19.0,20.0,15.0,15.0,15.0,15.0,17.0,24.0,17.0,11.0,10.0,12.0,12.0,12.0,12.0,14.0,14.0,14.0,14.0,27.0,10.0,10.0,10.0,11.0,14.0,21.0,21.0,28.0,22.0,28.0,26.0,33.0,30.0,17.0,15.0
394902,37,"Nashville, TN",msa,TN,33.0,17.0,14.0,12.0,14.0,17.0,18.0,21.0,23.0,26.0,29.0,37.0,46.0,26.0,20.0,20.0,14.0,19.0,26.0,25.0,31.0,38.0,41.0,52.0,46.0,32.0,32.0,31.0,30.0,28.0,34.0,33.0,33.0,27.0,29.0,35.0,32.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,4.0,4.0,4.0,4.0,4.0,5.0,8.0,13.0,17.0,21.0,27.0,39.0,39.0,21.0,13.0
395194,38,"Virginia Beach, VA",msa,VA,88.0,76.0,43.0,37.0,42.0,43.0,43.0,52.0,57.0,61.0,62.0,79.0,73.0,64.0,41.0,35.0,36.0,40.0,42.0,41.0,47.0,48.0,60.0,88.0,73.0,81.0,54.0,70.0,57.0,50.0,38.0,28.0,33.0,24.0,23.0,24.0,24.0,16.0,14.0,20.0,14.0,17.0,18.0,19.0,22.0,21.0,21.0,21.0,20.0,14.0,12.0,12.0,14.0,17.0,19.0,21.0,22.0,21.0,25.0,28.0,30.0,21.0,18.0
395005,39,"Providence, RI",msa,RI,55.0,23.0,22.0,15.0,15.0,20.0,25.0,27.0,43.0,34.0,44.0,51.0,58.0,44.0,27.0,20.0,18.0,25.0,28.0,28.0,29.0,31.0,33.0,46.0,48.0,25.0,19.0,20.0,16.0,12.0,11.0,9.0,10.0,12.0,13.0,20.0,27.0,8.0,7.0,7.0,11.0,7.0,8.0,9.0,10.0,11.0,11.0,11.0,9.0,8.0,7.0,7.0,7.0,9.0,11.0,12.0,13.0,12.0,15.0,19.0,19.0,10.0,8.0
394714,40,"Jacksonville, FL",msa,FL,43.0,31.0,31.0,31.0,30.0,35.0,33.0,36.0,39.0,38.0,43.0,47.0,54.0,39.0,36.0,36.0,27.0,24.0,26.0,25.0,32.0,28.0,29.0,38.0,37.0,21.0,18.0,23.0,26.0,22.0,16.0,14.0,15.0,9.0,10.0,10.0,7.0,5.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,6.0,7.0,7.0,6.0,5.0,5.0,5.0,5.0,7.0,10.0,15.0,18.0,22.0,33.0,42.0,,37.0,34.0
394862,41,"Milwaukee, WI",msa,WI,,,,,,,,,,,,,,,23.0,36.0,29.0,33.0,34.0,33.0,40.0,46.0,40.0,67.0,54.0,43.0,27.0,34.0,29.0,28.0,31.0,28.0,31.0,34.0,42.0,35.0,39.0,22.0,17.0,16.0,16.0,22.0,24.0,29.0,30.0,31.0,32.0,34.0,32.0,18.0,19.0,12.0,14.0,18.0,25.0,26.0,33.0,28.0,27.0,35.0,29.0,20.0,17.0
394935,42,"Oklahoma City, OK",msa,OK,95.0,90.0,23.0,29.0,22.0,18.0,22.0,25.0,31.0,38.0,37.0,50.0,54.0,48.0,23.0,16.0,15.0,15.0,18.0,20.0,24.0,25.0,24.0,37.0,29.0,18.0,12.0,14.0,11.0,10.0,9.0,10.0,8.0,8.0,10.0,12.0,8.0,6.0,4.0,3.0,4.0,4.0,5.0,6.0,6.0,5.0,6.0,7.0,5.0,5.0,4.0,4.0,4.0,4.0,6.0,9.0,10.0,11.0,14.0,21.0,19.0,11.0,9.0
395012,43,"Raleigh, NC",msa,NC,14.0,7.0,7.0,6.0,8.0,8.0,11.0,12.0,13.0,12.0,14.0,19.0,19.0,10.0,9.0,7.0,9.0,11.0,12.0,11.0,12.0,15.0,17.0,23.0,15.0,7.0,5.0,8.0,7.0,6.0,5.0,4.0,5.0,5.0,5.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,6.0,8.0,11.0,,,,,,13.0,8.0
394849,44,"Memphis, TN",msa,TN,63.0,52.0,32.0,21.0,25.0,25.0,27.0,27.0,38.0,29.0,42.0,53.0,47.0,29.0,28.0,10.0,11.0,9.0,15.0,18.0,18.0,16.0,19.0,24.0,22.0,13.0,8.0,8.0,8.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,,14.0,17.0,10.0,10.0,15.0,17.0,17.0,23.0,14.0,16.0,15.0,10.0,8.0,9.0,10.0,12.0,17.0,18.0,19.0,20.0,24.0,32.0,29.0,24.0,21.0
395022,45,"Richmond, VA",msa,VA,52.0,12.0,10.0,8.0,14.0,13.0,18.0,19.0,21.0,22.0,31.0,41.0,27.0,16.0,11.0,8.0,9.0,10.0,13.0,15.0,16.0,20.0,28.0,48.0,24.0,11.0,6.0,8.0,10.0,6.0,6.0,5.0,5.0,5.0,6.0,7.0,5.0,5.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,7.0,7.0,11.0,15.0,9.0,6.0,5.0
394807,46,"Louisville, KY",msa,KY,45.0,18.0,12.0,11.0,9.0,15.0,15.0,14.0,18.0,20.0,26.0,42.0,38.0,27.0,13.0,12.0,14.0,13.0,14.0,17.0,17.0,20.0,21.0,39.0,38.0,16.0,7.0,13.0,10.0,6.0,6.0,6.0,5.0,6.0,8.0,11.0,23.0,8.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,7.0,6.0,10.0,6.0,5.0,4.0,5.0,5.0,5.0,7.0,7.0,8.0,8.0,14.0,20.0,14.0,7.0,5.0
394910,47,"New Orleans, LA",msa,LA,57.0,44.0,28.0,28.0,27.0,31.0,31.0,35.0,33.0,33.0,36.0,44.0,49.0,33.0,33.0,23.0,23.0,18.0,25.0,35.0,34.0,30.0,36.0,41.0,46.0,31.0,18.0,24.0,19.0,18.0,17.0,12.0,15.0,10.0,12.0,16.0,9.0,8.0,8.0,6.0,6.0,7.0,8.0,9.0,21.0,9.0,9.0,10.0,9.0,6.0,6.0,7.0,8.0,10.0,14.0,19.0,19.0,24.0,33.0,38.0,45.0,29.0,21.0
395053,48,"Salt Lake City, UT",msa,UT,34.0,8.0,10.0,6.0,11.0,10.0,11.0,12.0,17.0,19.0,24.0,32.0,32.0,16.0,8.0,9.0,10.0,11.0,14.0,21.0,13.0,15.0,25.0,21.0,11.0,6.0,6.0,11.0,9.0,13.0,7.0,6.0,6.0,6.0,6.0,7.0,12.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,6.0,8.0,15.0,17.0,20.0,22.0,31.0,41.0,43.0,20.0,12.0
