RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2023-05-31,2023-07-31,2024-04-30
394563,281,"Elizabethtown, KY",msa,KY,2023-04-30,0.9,2.4,4.1
394917,282,"Niles, MI",msa,MI,2023-04-30,1.3,3.4,3.9
394873,283,"Monroe, MI",msa,MI,2023-04-30,0.9,2.5,1.3
395066,284,"Santa Fe, NM",msa,NM,2023-04-30,1.0,2.3,5.9
394493,285,"Concord, NH",msa,NH,2023-04-30,1.2,3.0,5.3
394314,286,"Alexandria, LA",msa,LA,2023-04-30,0.6,1.8,-2.6
395163,287,"Traverse City, MI",msa,MI,2023-04-30,1.4,3.7,6.8
394359,288,"Bangor, ME",msa,ME,2023-04-30,1.6,4.7,6.4
394685,289,"Homosassa Springs, FL",msa,FL,2023-04-30,0.8,1.9,6.9
394662,290,"Hanford, CA",msa,CA,2023-04-30,0.6,1.3,4.7
394723,291,"Jefferson City, MO",msa,MO,2023-04-30,0.9,2.3,3.8
394598,292,"Florence, AL",msa,AL,2023-04-30,1.0,2.5,5.5
394537,293,"Dothan, AL",msa,AL,2023-04-30,0.9,2.3,3.4
394802,294,"London, KY",msa,KY,2023-04-30,1.1,2.4,2.2
394306,295,"Albany, GA",msa,GA,2023-04-30,1.0,2.1,5.0
395102,297,"Sioux City, IA",msa,IA,2023-04-30,1.2,3.0,4.2
395223,298,"Wichita Falls, TX",msa,TX,2023-04-30,1.2,3.1,6.4
395152,299,"Texarkana, TX",msa,TX,2023-04-30,0.8,2.1,3.6
395182,300,"Valdosta, GA",msa,GA,2023-04-30,0.9,2.2,5.1
394800,301,"Logan, UT",msa,UT,2023-04-30,0.8,2.2,6.0
394595,302,"Flagstaff, AZ",msa,AZ,2023-04-30,0.7,1.1,6.6
395036,303,"Rocky Mount, NC",msa,NC,2023-04-30,1.2,2.8,7.4
395000,304,"Pottsville, PA",msa,PA,2023-04-30,1.1,3.3,5.5
394515,305,"Dalton, GA",msa,GA,2023-04-30,1.0,2.4,6.0
394783,306,"Lebanon, PA",msa,PA,2023-04-30,0.8,1.8,3.3
394880,307,"Morristown, TN",msa,TN,2023-04-30,1.1,2.9,7.3
395232,308,"Winchester, VA",msa,VA,2023-04-30,0.8,1.7,3.4
395221,309,"Wheeling, WV",msa,OH,2023-04-30,0.7,1.9,0.8
394879,310,"Morgantown, WV",msa,WV,2023-04-30,0.6,1.4,0.5
394756,311,"La Crosse, WI",msa,WI,2023-04-30,1.5,3.3,3.8
